1,Colmillo,Bulldog,91,H,NO
2,Spunky,Collie,87,H,NO
3,Pluto,Salchicha,47,H,NO
4,Max,Collie,70,H,SI
5,Milo,Pequines,70,H,SI
7,Buster,Caniche,44,H,SI
8,Scooby,Bulldog,27,H,SI
9,Spunky,Beagle,13,H,SI
10,Firulais,Callejero,95,H,NO
12,Beethoven,Caniche,1,H,NO
13,Scooby,Labrador,55,H,NO
14,Einstein,Callejero,2,H,NO
15,Boby,Bulldog,30,H,SI
16,Beethoven,Bulldog,61,H,SI
17,Pluto,Callejero,10,H,NO
18,Spunky,Collie,18,H,NO
20,Colmillo,Dogo,25,H,NO
21,Benji,Salchicha,97,H,SI
23,Benji,Collie,11,H,NO
24,Milo,Caniche,74,H,SI
25,Max,Dogo,69,H,NO
26,Beethoven,Salchicha,17,H,NO
27,Buster,Boxer,54,H,NO
28,Charlie,Caniche,15,H,SI
30,Snoopy,Beagle,57,H,SI
31,Benji,Dogo,54,H,NO
32,Pluto,Labrador,77,H,SI
33,Buster,Pequines,19,H,NO
35,Charlie,Dogo,37,H,SI
36,Charlie,Boxer,53,H,SI
37,Scooby,Callejero,10,H,NO
38,Beethoven,Caniche,4,H,NO
40,Einstein,Labrador,31,H,NO
41,Benji,Dogo,4,H,SI
42,Firulais,Boxer,59,H,NO
43,Buster,Callejero,11,H,NO
44,Benji,Beagle,99,H,NO
47,Scooby,Salchicha,35,H,NO
48,Buster,Dogo,30,H,NO
49,Colmillo,Callejero,2,H,NO
50,Buster,Beagle,3,H,NO
51,Max,Salchicha,16,H,NO
52,Einstein,Callejero,96,H,NO
53,Einstein,Callejero,72,H,SI
54,Buster,Labrador,15,H,NO
55,Max,Boxer,43,H,NO
58,Scooby,Collie,51,H,SI
59,Colmillo,Dogo,14,H,NO
60,Milo,Caniche,12,H,NO
61,Firulais,Callejero,8,H,SI
62,Colmillo,Dogo,26,H,SI
63,Benji,Collie,59,H,NO
64,Milo,Caniche,20,H,SI
65,Milo,Bulldog,32,H,NO
67,Charlie,Labrador,52,H,NO
68,Pluto,Bulldog,50,H,NO
69,Spunky,Bulldog,86,H,NO
70,Firulais,Labrador,47,H,SI
71,Spunky,Callejero,61,H,SI
72,Snoopy,Salchicha,36,H,NO
73,Pluto,Boxer,44,H,NO
74,Charlie,Pequines,17,H,SI
75,Max,Salchicha,21,H,NO
76,Boby,Boxer,36,H,NO
79,Max,Beagle,65,H,SI
80,Charlie,Callejero,5,H,NO
82,Charlie,Bulldog,72,H,NO
84,Charlie,Salchicha,78,H,SI
85,Charlie,Dogo,26,H,SI
86,Snoopy,Bulldog,8,H,NO
87,Colmillo,Callejero,13,H,SI
88,Colmillo,Pequines,90,H,SI
89,Charlie,Dogo,4,H,NO
90,Buster,Salchicha,93,H,NO
91,Einstein,Callejero,8,H,SI
92,Einstein,Salchicha,1,H,SI
93,Max,Beagle,81,H,SI
94,Milo,Bulldog,95,H,SI
95,Benji,Boxer,70,H,SI
96,Max,Boxer,53,H,NO
97,Beethoven,Caniche,79,H,SI
100,Buster,Pequines,6,H,SI
